material_id,formula,nonmetal_element,formation_energy_per_atom,band_gap,density,total_magnetization,filename
mp-1217166,Ti5S8,S,-1.660958817435896,0.0,3.453726689820801,0.0401146,cif_files/ti_nonmetals/mp-1217166_Ti5S8.cif
mp-1217172,Ti5S8,S,-1.584540012051281,0.0,3.414817625265709,0.0315062,cif_files/ti_nonmetals/mp-1217172_Ti5S8.cif
mp-1217445,Ti5S8,S,-1.664435762307691,0.0,3.429577789391487,0.020909499999999002,cif_files/ti_nonmetals/mp-1217445_Ti5S8.cif
mp-673657,Ti7S12,S,-1.672311393333331,0.0,3.390550591130881,0.0459037,cif_files/ti_nonmetals/mp-673657_Ti7S12.cif
mp-680850,Ti8S3,S,-1.018810084696969,0.0,4.732975207820129,1.691743499999999,cif_files/ti_nonmetals/mp-680850_Ti8S3.cif
mp-282,TiF2,F,-3.013348831111111,0.436399999999999,4.072181500448822,2.0000162,cif_files/ti_nonmetals/mp-282_TiF2.cif
mp-1178963,TiF3,F,-3.073418954583333,0.0,3.761511051835159,0.946143299999999,cif_files/ti_nonmetals/mp-1178963_TiF3.cif
mp-1179375,TiF3,F,-3.440694612083333,0.2752,2.3263372181163,0.0003706,cif_files/ti_nonmetals/mp-1179375_TiF3.cif
mp-246,TiF3,F,-3.669544359583334,0.0,2.891381006186685,2.0000001,cif_files/ti_nonmetals/mp-246_TiF3.cif
mp-2901880,TiF3,F,-3.353371614166667,0.0,3.205117427359857,0.9999933,cif_files/ti_nonmetals/mp-2901880_TiF3.cif
mp-562468,TiF3,F,-3.667189233333333,0.0,2.893223428314993,2.0000001,cif_files/ti_nonmetals/mp-562468_TiF3.cif
mp-634867,TiF3,F,-2.402767662083334,0.0,4.7842387836682665,6e-07,cif_files/ti_nonmetals/mp-634867_TiF3.cif
mp-1383199,TiF4,F,-3.611293161666666,4.3454,2.866872903290787,0.0,cif_files/ti_nonmetals/mp-1383199_TiF4.cif
mp-28974,TiF4,F,-3.686185758666666,4.1709,3.002993570627025,0.0,cif_files/ti_nonmetals/mp-28974_TiF4.cif
mp-1209717,TiF6,F,-2.379295843333333,2.9814,1.407114488875756,0.0005704999999990001,cif_files/ti_nonmetals/mp-1209717_TiF6.cif
mp-540671,Ti7Cl16,Cl,-1.746946720289854,0.0,3.002756971016592,8.0260813,cif_files/ti_nonmetals/mp-540671_Ti7Cl16.cif
mp-28116,TiCl2,Cl,-1.631496091041666,0.0,2.6823127960692252,1.9922387,cif_files/ti_nonmetals/mp-28116_TiCl2.cif
mp-2017901,TiCl3,Cl,-1.807181748541666,0.352199999999999,2.620291065384653,4.0000003,cif_files/ti_nonmetals/mp-2017901_TiCl3.cif
mp-2036706,TiCl3,Cl,-1.804791176041666,0.009199999999999,2.644300886173719,2.0000001,cif_files/ti_nonmetals/mp-2036706_TiCl3.cif
mp-23275,TiCl3,Cl,-1.779362912291647,0.0,2.510175119475105,2.0000052,cif_files/ti_nonmetals/mp-23275_TiCl3.cif
mp-567330,TiCl3,Cl,-1.779151604166648,0.0,2.521871748958713,4.0299475,cif_files/ti_nonmetals/mp-567330_TiCl3.cif
mp-567354,TiCl3,Cl,-1.778813748541647,0.0,2.471772742922638,1.9999436,cif_files/ti_nonmetals/mp-567354_TiCl3.cif
mp-568230,TiCl3,Cl,-1.779658966041649,0.0,2.4974387875818342,6.0042101,cif_files/ti_nonmetals/mp-568230_TiCl3.cif
mp-569756,TiCl3,Cl,-1.807060095208334,0.0,2.619697592262082,6.0,cif_files/ti_nonmetals/mp-569756_TiCl3.cif
mp-571143,TiCl3,Cl,-1.791129423541667,0.0,2.56158174828268,0.331416,cif_files/ti_nonmetals/mp-571143_TiCl3.cif
mp-571377,TiCl3,Cl,-1.781855178124982,0.0,2.4583540424367962,6.0019447,cif_files/ti_nonmetals/mp-571377_TiCl3.cif
mp-571424,TiCl3,Cl,-1.806875666041666,0.019299999999999002,2.621351397428019,4.0,cif_files/ti_nonmetals/mp-571424_TiCl3.cif
mp-30092,TiCl4,Cl,-1.725360933333334,3.4576000000000002,2.000567383851006,0.0,cif_files/ti_nonmetals/mp-30092_TiCl4.cif
mp-971768,Ti3Br,Br,0.1634213625,0.0,5.392616805762475,0.0134709,cif_files/ti_nonmetals/mp-971768_Ti3Br.cif
mp-540672,Ti7Br16,Br,-1.530996540144928,0.0,4.5005771394791125,8.0132036,cif_files/ti_nonmetals/mp-540672_Ti7Br16.cif
mp-27785,TiBr2,Br,-1.393762114444443,0.0,4.114869812584196,2.0,cif_files/ti_nonmetals/mp-27785_TiBr2.cif
mp-28214,TiBr3,Br,-1.624886069583334,0.0,3.95257216641598,2.0000001,cif_files/ti_nonmetals/mp-28214_TiBr3.cif
mp-571065,TiBr3,Br,-1.620029079583333,0.0,3.9784010791121833,1.9999999,cif_files/ti_nonmetals/mp-571065_TiBr3.cif
mp-27634,TiBr4,Br,-1.658445301916668,2.7825,3.253926432619916,0.0,cif_files/ti_nonmetals/mp-27634_TiBr4.cif
mp-569814,TiBr4,Br,-1.658768930916667,2.4977,3.256784298476501,0.0,cif_files/ti_nonmetals/mp-569814_TiBr4.cif
mp-980194,TiI,I,-0.080128371666667,0.0,5.6919319387436715,1.921938,cif_files/ti_nonmetals/mp-980194_TiI.cif
mp-1207060,TiI2,I,-0.8628569611111101,0.0,5.095647984547276,0.2415966,cif_files/ti_nonmetals/mp-1207060_TiI2.cif
mp-23223,TiI3,I,-1.077977660833336,0.0,4.602452346125466,0.8070297,cif_files/ti_nonmetals/mp-23223_TiI3.cif
mp-23264,TiI3,I,-1.089017867083334,0.180899999999999,4.616975519632068,1e-07,cif_files/ti_nonmetals/mp-23264_TiI3.cif
mp-541013,TiI4,I,-1.031189425666664,1.0859,4.577633696087508,0.0,cif_files/ti_nonmetals/mp-541013_TiI4.cif
mp-1077045,Ti2H,H,-0.227773427361109,0.0,4.247363286959011,3e-07,cif_files/ti_nonmetals/mp-1077045_Ti2H.cif
